2017-03-14 14:04:38.638 [最新]接收到逐笔数据：要求的大单数据起始序号：24992
2017-03-14 14:04:57.874 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:47,973,100
2017-03-14 14:04:57.874 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:47,973,500
2017-03-14 14:04:59.597 [最新]接收到逐笔数据：要求的大单数据起始序号：25056
2017-03-14 14:04:59.597 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:38,972,-200
2017-03-14 14:04:59.598 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:39,972,-300
2017-03-14 14:04:59.598 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:39,972,-200
2017-03-14 14:04:59.598 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:41,972,-1400
2017-03-14 14:04:59.598 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:45,973,400
2017-03-14 14:04:59.598 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:45,973,700
2017-03-14 14:04:59.598 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:45,973,900
2017-03-14 14:04:59.598 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:46,973,500
2017-03-14 14:04:59.599 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:46,973,700
2017-03-14 14:04:59.599 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:46,973,500
2017-03-14 14:04:59.599 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:47,973,500
2017-03-14 14:04:59.599 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:47,973,100
2017-03-14 14:04:59.599 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:47,973,500
2017-03-14 14:04:59.599 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:52,972,-1400
2017-03-14 14:04:59.599 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:52,972,-900
2017-03-14 14:04:59.599 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:52,972,-900
