2017-03-14 14:04:37.198 [最新]接收到逐笔数据：要求的大单数据起始序号：10752
2017-03-14 14:04:53.780 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-19896
2017-03-14 14:04:55.887 [最新]接收到逐笔数据：要求的大单数据起始序号：10816
2017-03-14 14:04:55.887 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-900
2017-03-14 14:04:55.887 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-500
2017-03-14 14:04:55.887 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-1500
2017-03-14 14:04:55.888 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-1000
2017-03-14 14:04:55.888 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-10000
2017-03-14 14:04:55.888 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-1300
2017-03-14 14:04:55.888 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-2000
2017-03-14 14:04:55.888 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-5000
2017-03-14 14:04:55.888 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-600
2017-03-14 14:04:55.888 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-500
2017-03-14 14:04:55.889 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-19896
2017-03-14 14:04:55.889 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:46,1634,-4
2017-03-14 14:04:55.889 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:46,1634,-29996
2017-03-14 14:04:55.889 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:46,1635,104900
2017-03-14 14:04:57.697 [最新]接收到逐笔数据：要求的大单数据起始序号：10816
2017-03-14 14:04:57.698 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-900
2017-03-14 14:04:57.698 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-500
2017-03-14 14:04:57.698 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-1500
2017-03-14 14:04:57.698 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-1000
2017-03-14 14:04:57.699 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-10000
2017-03-14 14:04:57.699 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-1300
2017-03-14 14:04:57.699 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-2000
2017-03-14 14:04:57.699 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-5000
2017-03-14 14:04:57.700 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-600
2017-03-14 14:04:57.700 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-500
2017-03-14 14:04:57.700 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-19896
2017-03-14 14:04:57.700 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:46,1634,-4
2017-03-14 14:04:57.700 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:46,1634,-29996
2017-03-14 14:04:57.701 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:46,1635,104900
2017-03-14 14:04:57.701 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:49,1635,100
2017-03-14 14:04:57.786 [最新]接收到逐笔数据：要求的大单数据起始序号：10830
2017-03-14 14:04:57.786 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:49,1635,100
2017-03-14 14:04:57.786 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:49,1635,12600
2017-03-14 14:04:59.474 [最新]接收到逐笔数据：要求的大单数据起始序号：10816
2017-03-14 14:04:59.474 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-900
2017-03-14 14:04:59.474 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-500
2017-03-14 14:04:59.475 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-1500
2017-03-14 14:04:59.475 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-1000
2017-03-14 14:04:59.476 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-10000
2017-03-14 14:04:59.476 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-1300
2017-03-14 14:04:59.476 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-2000
2017-03-14 14:04:59.476 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-5000
2017-03-14 14:04:59.476 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-600
2017-03-14 14:04:59.477 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-500
2017-03-14 14:04:59.477 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:43,1634,-19896
2017-03-14 14:04:59.477 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:46,1634,-4
2017-03-14 14:04:59.477 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:46,1634,-29996
2017-03-14 14:04:59.478 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:46,1635,104900
2017-03-14 14:04:59.478 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:49,1635,100
2017-03-14 14:04:59.478 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:49,1635,12600
2017-03-14 14:04:59.478 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:51,1634,-4
2017-03-14 14:04:59.478 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:51,1634,-1000
2017-03-14 14:04:59.478 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:51,1634,-1000
2017-03-14 14:04:59.479 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:51,1634,-296
2017-03-14 14:04:59.479 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:52,1635,500
