2017-03-14 14:04:45.320 [最新]接收到逐笔数据：要求的大单数据起始序号：20608
2017-03-14 14:04:55.986 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:43,618,-400
2017-03-14 14:04:55.987 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:44,619,200
2017-03-14 14:04:55.987 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:45,619,500
2017-03-14 14:04:55.987 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:45,619,3100
2017-03-14 14:04:55.987 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:46,619,300
2017-03-14 14:04:57.754 [最新]接收到逐笔数据：要求的大单数据起始序号：20662
2017-03-14 14:04:57.754 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:47,619,700
2017-03-14 14:04:57.754 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:48,619,3200
2017-03-14 14:04:57.814 [最新]接收到逐笔数据：要求的大单数据起始序号：20640
2017-03-14 14:04:57.814 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:29,620,2000
2017-03-14 14:04:57.814 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:29,619,-1200
2017-03-14 14:04:57.815 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:29,619,-9300
2017-03-14 14:04:57.815 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:29,619,5000
2017-03-14 14:04:57.815 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:31,619,300
2017-03-14 14:04:57.816 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:32,619,4200
2017-03-14 14:04:57.816 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:32,619,800
2017-03-14 14:04:57.816 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:32,619,10000
2017-03-14 14:04:57.817 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:33,619,100
2017-03-14 14:04:57.817 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:34,619,1300
2017-03-14 14:04:57.817 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:36,619,600
2017-03-14 14:04:57.818 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:36,619,1000
2017-03-14 14:04:57.818 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:38,619,1000
2017-03-14 14:04:57.818 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:41,619,10000
2017-03-14 14:04:57.819 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:41,619,5100
2017-03-14 14:04:57.819 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:42,619,1000
2017-03-14 14:04:57.819 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:43,619,3900
2017-03-14 14:04:57.819 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:43,618,-400
2017-03-14 14:04:57.819 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:44,619,200
2017-03-14 14:04:57.820 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:45,619,500
2017-03-14 14:04:57.820 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:45,619,3100
2017-03-14 14:04:57.820 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:46,619,300
2017-03-14 14:04:57.820 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:47,619,700
2017-03-14 14:04:57.821 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:48,619,3200
2017-03-14 14:04:57.821 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:49,619,3000
2017-03-14 14:04:59.467 [最新]接收到逐笔数据：要求的大单数据起始序号：20665
2017-03-14 14:04:59.467 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:50,619,4200
2017-03-14 14:04:59.467 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:50,619,10000
2017-03-14 14:04:59.468 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:50,619,1200
2017-03-14 14:04:59.468 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:50,619,4000
2017-03-14 14:04:59.522 [最新]接收到逐笔数据：要求的大单数据起始序号：20669
2017-03-14 14:04:59.522 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:50,619,3100
