2017-03-14 14:04:39.854 [最新]接收到逐笔数据：要求的大单数据起始序号：10880
2017-03-14 14:04:52.388 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:36,1994,100
2017-03-14 14:04:52.389 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:36,1993,-1000
2017-03-14 14:04:52.389 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:37,1994,700
2017-03-14 14:04:52.389 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:38,1994,2100
2017-03-14 14:04:52.389 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:38,1994,1000
2017-03-14 14:04:52.390 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:38,1994,3200
2017-03-14 14:04:52.390 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:38,1994,1100
2017-03-14 14:04:52.390 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:39,1994,2000
2017-03-14 14:04:52.390 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:40,1993,-4200
2017-03-14 14:04:54.159 [最新]接收到逐笔数据：要求的大单数据起始序号：10942
2017-03-14 14:04:54.159 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:41,1993,1500
2017-03-14 14:04:54.217 [最新]接收到逐笔数据：要求的大单数据起始序号：10943
2017-03-14 14:04:54.217 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:42,1993,400
2017-03-14 14:04:54.218 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:42,1993,600
2017-03-14 14:04:56.156 [最新]接收到逐笔数据：要求的大单数据起始序号：10945
2017-03-14 14:04:56.157 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1993,3300
2017-03-14 14:04:56.157 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1993,1000
2017-03-14 14:04:56.157 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,1300
2017-03-14 14:04:56.157 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,200
2017-03-14 14:04:56.158 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,1000
2017-03-14 14:04:56.158 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,2500
2017-03-14 14:04:56.158 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,100
2017-03-14 14:04:56.158 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,1800
2017-03-14 14:04:56.159 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1994,2000
2017-03-14 14:04:56.159 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1995,10600
2017-03-14 14:04:56.159 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1995,500
2017-03-14 14:04:56.159 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1995,600
2017-03-14 14:04:56.160 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:45,1995,100
