2017-03-14 14:04:39.713 [最新]接收到逐笔数据：要求的大单数据起始序号：27200
2017-03-14 14:04:50.391 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:23,2165,500
2017-03-14 14:04:50.392 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:26,2164,-100
2017-03-14 14:04:50.392 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:26,2165,500
2017-03-14 14:04:50.393 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:37,2165,200
2017-03-14 14:04:52.362 [最新]接收到逐笔数据：要求的大单数据起始序号：27262
2017-03-14 14:04:52.362 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:38,2164,-300
2017-03-14 14:04:54.192 [最新]接收到逐笔数据：要求的大单数据起始序号：27232
2017-03-14 14:04:54.192 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2164,2400
2017-03-14 14:04:54.192 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2164,3000
2017-03-14 14:04:54.193 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2164,1000
2017-03-14 14:04:54.193 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2165,4000
2017-03-14 14:04:54.193 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2165,4000
2017-03-14 14:04:54.194 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2165,500
2017-03-14 14:04:54.194 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2165,1000
2017-03-14 14:04:54.194 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2165,200
2017-03-14 14:04:54.195 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2165,700
2017-03-14 14:04:54.195 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:04,2163,-1000
2017-03-14 14:04:54.196 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:04,2163,-4000
2017-03-14 14:04:54.196 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:10,2164,1100
2017-03-14 14:04:54.196 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:12,2164,100
2017-03-14 14:04:54.196 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:12,2164,1000
2017-03-14 14:04:54.197 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:12,2164,200
2017-03-14 14:04:54.197 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:13,2164,-1700
2017-03-14 14:04:54.198 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:13,2164,-100
2017-03-14 14:04:54.198 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:13,2164,-100
2017-03-14 14:04:54.198 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:14,2164,-100
2017-03-14 14:04:54.199 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:18,2164,-200
2017-03-14 14:04:54.199 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:22,2164,-200
2017-03-14 14:04:54.200 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:23,2165,300
2017-03-14 14:04:54.200 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:23,2165,400
2017-03-14 14:04:54.200 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:23,2165,200
2017-03-14 14:04:54.200 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:23,2165,3000
2017-03-14 14:04:54.200 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:23,2165,300
2017-03-14 14:04:54.201 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:23,2165,500
2017-03-14 14:04:54.201 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:26,2164,-100
2017-03-14 14:04:54.202 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:26,2165,500
2017-03-14 14:04:54.202 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:37,2165,200
2017-03-14 14:04:54.202 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:38,2164,-300
2017-03-14 14:04:54.202 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:42,2165,300
2017-03-14 14:04:54.204 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:42,2165,400
2017-03-14 14:04:54.204 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:43,2165,500
2017-03-14 14:04:54.204 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:43,2165,300
2017-03-14 14:04:54.204 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:43,2165,100
2017-03-14 14:04:56.155 [最新]接收到逐笔数据：要求的大单数据起始序号：27268
2017-03-14 14:04:56.155 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:44,2164,-200
2017-03-14 14:04:56.156 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:44,2164,-4400
2017-03-14 14:04:56.156 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:44,2164,-100
2017-03-14 14:04:58.150 [最新]接收到逐笔数据：要求的大单数据起始序号：27264
2017-03-14 14:04:58.150 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:42,2165,400
2017-03-14 14:04:58.151 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:43,2165,500
2017-03-14 14:04:58.151 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:43,2165,300
2017-03-14 14:04:58.152 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:43,2165,100
2017-03-14 14:04:58.152 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:44,2164,-200
2017-03-14 14:04:58.152 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:44,2164,-4400
2017-03-14 14:04:58.152 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:44,2164,-100
2017-03-14 14:04:58.153 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:49,2165,100
2017-03-14 14:04:59.730 [最新]接收到逐笔数据：要求的大单数据起始序号：27272
2017-03-14 14:04:59.730 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:51,2164,-100
2017-03-14 14:04:59.804 [最新]接收到逐笔数据：要求的大单数据起始序号：27273
